City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Bassar,TG,2022-02-08 20:47:40,9.25,0.7833,85.06,16,41,3.11
172,Saint Anthony,US,2022-02-08 20:47:40,45.0205,-93.218,40.05,65,0,8.05
173,Penzance,GB,2022-02-08 20:42:44,50.1186,-5.5371,49.21,80,100,17.07
174,Saskylakh,RU,2022-02-08 20:47:41,71.9167,114.0833,2.1,85,100,14.58
175,Barrow,US,2022-02-08 20:47:41,71.2906,-156.7887,-30.98,100,20,8.05
176,Basco,PH,2022-02-08 20:47:42,20.4487,121.9702,73.29,84,100,24.92
177,Kodiak,US,2022-02-08 20:48:42,57.79,-152.4072,26.11,68,0,13.8
178,East London,ZA,2022-02-08 20:48:42,-33.0153,27.9116,74.88,87,3,7.99
179,Darhan,MN,2022-02-08 20:48:43,49.4867,105.9228,0.28,98,100,1.32
180,Upernavik,GL,2022-02-08 20:48:43,72.7868,-56.1549,-16.46,93,100,5.66
181,Waingapu,ID,2022-02-08 20:48:44,-9.6567,120.2641,78.58,84,98,3.22
182,Veraval,IN,2022-02-08 20:48:44,20.9,70.3667,67.23,80,4,10.98
183,Mar Del Plata,AR,2022-02-08 20:48:44,-38.0023,-57.5575,69.82,79,0,15.99
184,Mutoko,ZW,2022-02-08 20:48:45,-17.397,32.2268,62.96,94,12,3.15
185,Hasaki,JP,2022-02-08 20:48:45,35.7333,140.8333,32.4,66,96,14.0
186,Panikian,PH,2022-02-08 20:48:45,7.0107,126.0242,74.91,92,100,4.36
187,Provideniya,RU,2022-02-08 20:48:46,64.3833,-173.3,-5.69,65,0,15.66
188,Grand Gaube,MU,2022-02-08 20:48:46,-20.0064,57.6608,75.6,79,52,1.99
189,Araguacu,BR,2022-02-08 20:48:47,-12.9306,-49.8264,79.05,88,98,2.55
190,Baghmara,IN,2022-02-08 20:48:47,23.795,86.2085,62.4,51,3,2.75
191,Severo-Kurilsk,RU,2022-02-08 20:48:47,50.6789,156.125,30.33,93,95,28.5
192,Butaritari,KI,2022-02-08 20:48:48,3.0707,172.7902,81.72,77,86,13.91
193,Kalmunai,LK,2022-02-08 20:48:48,7.4167,81.8167,76.28,72,100,9.66
194,Iralaya,HN,2022-02-08 20:48:48,15.0,-83.2333,80.37,62,11,12.73
195,Hamilton,US,2022-02-08 20:44:49,39.1834,-84.5333,47.98,54,0,12.66
196,Alice Springs,AU,2022-02-08 20:48:49,-23.7,133.8833,74.75,83,100,0.0
197,Black Diamond,US,2022-02-08 20:48:49,47.3087,-122.0032,50.43,77,74,3.0
198,Chokurdakh,RU,2022-02-08 20:48:50,70.6333,147.9167,-43.94,100,97,5.5
199,Itarema,BR,2022-02-08 20:48:50,-2.9248,-39.9167,81.03,76,8,14.38
200,Carutapera,BR,2022-02-08 20:48:50,-1.195,-46.02,77.81,90,81,5.23
201,Koumac,NC,2022-02-08 20:48:51,-20.5667,164.2833,81.43,84,97,20.89
202,Mudon,MM,2022-02-08 20:48:51,16.2578,97.7164,67.15,71,100,3.36
203,Trat,TH,2022-02-08 20:48:51,12.5,102.5,83.98,92,78,0.34
204,Ambon,ID,2022-02-08 20:48:52,-3.6954,128.1814,77.14,88,40,5.75
205,Kapfenberg,AT,2022-02-08 20:48:52,47.454,15.2702,36.84,94,51,4.12
206,Norman Wells,CA,2022-02-08 20:48:52,65.282,-126.8329,-25.56,62,75,2.3
207,Kiunga,PG,2022-02-08 20:48:53,-6.1219,141.2906,72.93,99,100,1.54
208,Lavrentiya,RU,2022-02-08 20:48:53,65.5833,-171.0,-25.56,95,52,13.11
209,Shingu,JP,2022-02-08 20:48:53,33.7333,135.9833,35.91,84,100,5.88
210,Perpignan,FR,2022-02-08 20:48:54,42.75,2.75,46.0,85,0,3.44
211,Ochakiv,UA,2022-02-08 20:48:54,46.6128,31.5498,33.94,75,63,22.48
212,Muros,ES,2022-02-08 20:48:55,42.7762,-9.0603,56.84,83,6,5.97
213,Cabo San Lucas,MX,2022-02-08 20:48:55,22.8909,-109.9124,79.61,60,1,8.01
214,Shenjiamen,CN,2022-02-08 20:48:55,29.9576,122.298,44.91,67,72,9.46
215,San Quintin,MX,2022-02-08 20:46:12,30.4833,-115.95,69.44,23,2,8.81
216,Terney,RU,2022-02-08 20:48:56,45.0503,136.6092,10.09,81,3,8.84
217,Igarka,RU,2022-02-08 20:48:56,67.4667,86.5833,-10.91,92,100,12.1
218,San Miguel,SV,2022-02-08 20:48:57,13.4833,-88.1833,94.6,26,0,4.61
219,Tuktoyaktuk,CA,2022-02-08 20:48:57,69.4541,-133.0374,-41.8,60,0,5.75
220,Simpang,ID,2022-02-08 20:48:57,-1.2667,104.0833,74.25,91,99,2.53
221,Wajid,SO,2022-02-08 20:48:58,3.8093,43.2471,79.09,22,100,15.28
222,Bangui,CF,2022-02-08 20:48:58,4.3612,18.555,80.78,61,15,0.0
223,Kahului,US,2022-02-08 20:48:58,20.8947,-156.47,79.86,64,20,18.41
224,Panzhihua,CN,2022-02-08 20:48:59,26.5851,101.7128,44.33,66,0,1.74
225,Villaba,PH,2022-02-08 20:49:59,11.2135,124.3921,75.16,86,94,7.29
226,Kulhudhuffushi,MV,2022-02-08 20:50:00,6.6221,73.07,80.55,68,62,11.01
227,Victoria,HK,2022-02-08 20:45:35,22.2855,114.1577,61.32,84,100,7.0
228,Lata,PT,2022-02-08 20:50:00,40.1629,-8.3327,54.01,64,0,4.38
229,Lagos,NG,2022-02-08 20:47:08,6.5833,3.75,84.52,85,84,6.55
230,Souillac,MU,2022-02-08 20:50:01,-20.5167,57.5167,75.58,88,40,3.44
231,Qaanaaq,GL,2022-02-08 20:50:02,77.484,-69.3632,-13.4,91,100,5.26
232,Krutikha,RU,2022-02-08 20:50:03,53.9599,81.2093,-6.52,99,48,5.39
233,Ahipara,NZ,2022-02-08 20:50:03,-35.1667,173.1667,75.63,88,89,8.34
234,Vredendal,ZA,2022-02-08 20:50:04,-31.6683,18.5012,68.59,70,0,8.84
235,Miura,JP,2022-02-08 20:50:04,35.14,139.6192,39.97,66,61,18.3
236,Honiara,SB,2022-02-08 20:50:04,-9.4333,159.95,79.03,89,100,8.52
237,Salym,RU,2022-02-08 20:50:05,60.0625,71.4789,-2.0,99,48,5.61
238,Okhotsk,RU,2022-02-08 20:50:05,59.3833,143.3,4.71,84,99,8.43
239,Nhulunbuy,AU,2022-02-08 20:50:05,-12.2333,136.7667,77.61,94,99,0.0
240,Yellowknife,CA,2022-02-08 20:50:06,62.456,-114.3525,-11.58,78,75,4.61
241,Haukipudas,FI,2022-02-08 20:50:06,65.1765,25.3523,25.14,93,100,10.11
242,Karachi,PK,2022-02-08 20:46:00,24.9056,67.0822,60.62,88,0,4.61
243,Dois Vizinhos,BR,2022-02-08 20:50:07,-25.7336,-53.0572,80.22,37,0,4.72
244,Birsk,RU,2022-02-08 20:50:07,55.4211,55.5428,13.32,97,100,2.13
245,Taitung,TW,2022-02-08 20:50:08,22.7583,121.1444,63.66,82,42,7.52
246,Lasa,IT,2022-02-08 20:50:08,46.6166,10.7002,44.06,53,2,5.77
247,Sobolevo,RU,2022-02-08 20:50:08,54.4299,31.8996,22.91,96,100,7.45
248,Mafinga,TZ,2022-02-08 20:50:09,-7.25,35.0667,67.64,83,100,2.68
249,Doha,QA,2022-02-08 20:50:09,25.2867,51.5333,60.78,69,0,12.66
250,Martvili,GE,2022-02-08 20:50:09,42.4144,42.3792,46.45,78,100,6.89
251,Port Blair,IN,2022-02-08 20:50:10,11.6667,92.75,78.84,78,40,8.05
252,Luang Prabang,LA,2022-02-08 20:50:10,19.8856,102.1347,61.0,69,88,0.72
253,Anadyr,RU,2022-02-08 20:50:11,64.75,177.4833,-30.5,75,20,6.71
254,Georgetown,MY,2022-02-08 20:49:14,5.4112,100.3354,77.95,92,20,0.0
255,Lebu,CL,2022-02-08 20:50:11,-37.6167,-73.65,64.08,80,27,18.84
256,Matamoros,MX,2022-02-08 20:50:11,25.5333,-103.25,58.86,26,0,4.12
257,Bolu,TR,2022-02-08 20:50:12,40.6667,31.5833,33.08,98,100,3.44
258,Itoman,JP,2022-02-08 20:50:12,26.1247,127.6694,62.62,82,40,8.05
259,Codo,BR,2022-02-08 20:50:13,-4.4553,-43.8856,82.04,77,51,1.01
260,Naze,JP,2022-02-08 20:47:08,28.3667,129.4833,56.8,77,95,13.06
261,Wajir,KE,2022-02-08 20:50:13,1.7471,40.0573,85.26,19,99,10.96
262,Tiznit,MA,2022-02-08 20:50:13,29.5833,-9.5,65.75,24,0,11.21
263,Hambantota,LK,2022-02-08 20:50:14,6.1241,81.1185,75.72,67,100,12.46
264,Ulfborg,DK,2022-02-08 20:50:14,56.2673,8.3217,41.9,90,99,14.74
265,Dharchula,IN,2022-02-08 20:50:15,29.85,80.5333,43.86,57,57,6.96
266,Meulaboh,ID,2022-02-08 20:50:15,4.1363,96.1285,75.56,88,91,4.47
267,Boone,US,2022-02-08 20:50:15,39.0334,-92.3335,56.86,66,84,13.89
268,Chiang Klang,TH,2022-02-08 20:50:16,19.2938,100.8617,63.37,49,36,1.41
269,Sale,MA,2022-02-08 20:50:16,34.0389,-6.8166,59.02,100,0,0.0
270,Kajaani,FI,2022-02-08 20:50:16,64.2273,27.7285,23.05,93,100,6.91
271,Leningradskiy,RU,2022-02-08 20:51:17,69.3833,178.4167,-27.36,81,12,3.89
272,Marsh Harbour,BS,2022-02-08 20:51:17,26.5412,-77.0636,74.39,75,14,6.26
273,Solnechnyy,RU,2022-02-08 20:51:17,50.7214,136.6319,-4.41,97,91,3.24
274,Codrington,AU,2022-02-08 20:51:18,-38.2667,141.9667,67.03,72,99,5.55
275,Wloclawek,PL,2022-02-08 20:51:18,52.6482,19.0678,41.41,83,62,16.6
276,Jiangkou,CN,2022-02-08 20:51:19,25.4872,119.1986,48.09,88,100,10.33
277,Hovd,MN,2022-02-08 20:51:19,48.0056,91.6419,-12.32,79,9,2.35
278,Rapid Valley,US,2022-02-08 20:51:19,44.0625,-103.1463,51.84,24,0,31.07
279,Shiraz,IR,2022-02-08 20:49:43,29.6036,52.5388,36.84,60,0,4.61
280,Alekseyevsk,RU,2022-02-08 20:51:20,57.8406,108.3492,-21.5,100,80,3.38
281,Dikson,RU,2022-02-08 20:51:20,73.5069,80.5464,1.44,95,100,21.81
282,Longyearbyen,SJ,2022-02-08 20:51:21,78.2186,15.6401,17.44,62,75,6.91
283,Bundaberg,AU,2022-02-08 20:46:31,-24.85,152.35,69.22,83,30,6.91
284,Inhambane,MZ,2022-02-08 20:51:21,-23.865,35.3833,73.47,86,0,6.87
285,Tapes,BR,2022-02-08 20:51:22,-30.6733,-51.3958,74.86,57,48,13.09
286,Skagen,DK,2022-02-08 20:51:22,57.7209,10.5839,41.27,77,29,23.51
287,Cap Malheureux,MU,2022-02-08 20:51:22,-19.9842,57.6142,75.69,79,55,3.0
288,Saldanha,ZA,2022-02-08 20:51:23,-33.0117,17.9442,66.25,92,57,7.87
289,Micheweni,TZ,2022-02-08 20:51:23,-4.9667,39.8333,80.69,74,83,12.8
290,Halifax,CA,2022-02-08 20:50:30,44.6453,-63.5724,42.69,98,100,16.11
291,Thompson,CA,2022-02-08 20:51:24,55.7435,-97.8558,19.56,79,100,14.97
292,Mayo,US,2022-02-08 20:51:24,38.8876,-76.5119,48.58,39,0,13.8
293,Chibuto,MZ,2022-02-08 20:51:24,-24.6867,33.5306,70.39,87,0,3.44
294,Finote Selam,ET,2022-02-08 20:51:25,10.7,37.2667,65.52,49,94,4.03
