City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
395,Port Augusta,AU,83.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
397,Coihaique,CL,52.41,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
399,Boa Vista,BR,84.18,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
400,Half Moon Bay,US,53.85,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
401,Porto Novo,BJ,82.22,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
403,Princeton,US,74.01,clear sky,25.5384,-80.4089,American Best Inn
404,Creston,US,47.48,clear sky,41.0586,-94.3614,Supertel Inn & Conference Center
405,Laguna,US,57.4,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
406,Les Cayes,HT,74.14,clear sky,18.2,-73.75,Villa Orphee
409,Durban,ZA,73.02,overcast clouds,-29.8579,31.0292,Hilton Durban
411,Huzhou,CN,42.98,overcast clouds,30.8703,120.0933,Huzhou Plaza Hotel
413,Surt,LY,57.51,scattered clouds,31.2089,16.5887,الهادي ابوشعاله سرت
414,Taltal,CL,69.87,clear sky,-25.4,-70.4833,Residencial Karime
415,Ilo,PE,71.29,overcast clouds,-17.6394,-71.3375,Torreblanca Hotel
417,Asyut,EG,53.78,broken clouds,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
418,Presidencia Roque Saenz Pena,AR,68.85,scattered clouds,-26.7852,-60.4388,Hotel Gualok
420,Kaseda,JP,48.54,broken clouds,31.4167,130.3167,Sun Stay Kaseda
422,Daru,PG,77.43,overcast clouds,-9.0763,143.2092,Daru Lodge
423,Constitucion,CL,57.09,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
425,Buala,SB,84.61,light rain,-8.145,159.5921,Maringe Lagoon Lodge
426,Bilma,NE,63.9,clear sky,18.6853,12.9164,Expeditions Ténére voyages
427,Angoche,MZ,79.27,overcast clouds,-16.2325,39.9086,Guest House HESADA
428,Gonen,TR,47.07,scattered clouds,40.1049,27.654,Gönen Palmiye Butik Pansiyon
430,Manono,CD,67.98,overcast clouds,-7.3,27.4167,Hotel hewa bora
431,Dzilam Gonzalez,MX,76.71,clear sky,21.2833,-88.9333,posadas
432,Ranong,TH,78.73,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
434,Sao Bernardo,BR,74.82,light rain,-3.3614,-42.4178,Hotel Prado
436,Felanitx,ES,52.02,clear sky,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
439,Shimoda,JP,46.76,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
440,Sibolga,ID,81.16,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
441,Ternate,ID,76.24,moderate rain,0.8,127.4,Sahid Bela Ternate Hotel
442,Wamba,NG,72.7,overcast clouds,8.9333,8.6,Roma Zee Guest House Annex
444,Sur,OM,71.89,clear sky,22.5667,59.5289,Sur Plaza Hotel
445,San Patricio,US,73.81,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
447,Chester,US,47.66,clear sky,40.1254,-75.8749,"Holiday Inn Morgantown - Reading Area, an IHG Hotel"
449,Moussoro,TD,66.4,clear sky,13.6408,16.4901,Hôtel Salama
450,Hokitika,NZ,65.75,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
453,Samarinda,ID,84.06,overcast clouds,-0.5,117.15,ASTON Samarinda Hotel & Convention Center
454,Creel,MX,41.18,scattered clouds,27.75,-107.6333,The Lodge at Creel Hotel & SPA
456,Sao Jose Da Coroa Grande,BR,78.35,few clouds,-8.8978,-35.1478,Crôa Mares Hotel
457,Huancabamba,PE,58.87,overcast clouds,-5.2386,-79.4506,Hospedaje El Dorado
458,Sao Joao Da Barra,BR,76.53,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
460,Tautira,PF,89.62,clear sky,-17.7333,-149.15,Pension Oaoa
461,Maibong,IN,59.85,few clouds,25.3,93.1667,Juhi Cottage Maibang
463,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
464,Salalah,OM,72.21,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
466,Mandal,IN,62.73,clear sky,25.45,74.5667,Surpanch saab ki vatika
467,Samarai,PG,85.39,overcast clouds,-10.6167,150.6667,Nuli Sapi
468,Hauterive,FR,45.36,overcast clouds,46.0901,3.4459,Aletti Palace Hotel
469,Gigmoto,PH,78.8,overcast clouds,13.7796,124.39,Cj's Travellers Inn
470,Najran,SA,54.25,broken clouds,17.4924,44.1277,محمد هادي ال فطيح
